# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367128,5,11,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367128,8,12,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367129,1,12,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367130,1,12,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367130,22,14,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367130,25,15,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367130,30,17,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367130,34,18,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367130,77,16,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367130,83,14,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367130,90,13,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367131,1,13,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367131,89,14,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367133,1,14,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367228,1,5,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367228,67,17,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367228,74,18,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367228,81,19,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367228,88,20,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367228,129,19,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367228,148,17,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367228,184,16,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367228,209,14,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367228,261,13,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367228,286,12,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367228,293,11,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367229,1,11,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367230,1,11,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367231,1,11,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367232,1,11,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367232,659,12,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367232,674,11,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367232,781,12,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367232,865,13,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367232,944,14,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367234,1,14,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367234,154,15,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367234,261,16,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367234,522,17,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367260,1,5,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367260,53,7,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367260,60,8,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367260,63,7,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367260,70,8,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367260,76,9,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367260,79,10,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367260,82,9,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367260,90,8,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367260,94,5,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367260,150,14,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367260,185,13,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367260,218,6,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367262,1,6,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367262,3,5,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367262,14,13,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367263,1,13,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367264,1,13,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367264,119,14,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367264,350,15,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367264,392,16,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367264,625,17,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367264,690,18,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367264,701,19,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
367264,717,20,128.00,HLT_PFJet260_v23/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
