# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367095,1,5,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,6,7,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,8,8,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,10,9,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,12,10,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,13,11,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,15,12,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,17,13,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,18,14,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,21,15,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,24,16,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,27,17,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,30,18,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,34,19,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,41,20,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,43,18,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,103,17,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,113,16,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,115,15,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,117,16,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,141,15,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367095,169,16,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367100,1,5,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367100,7,14,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367100,44,16,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367100,49,18,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367100,122,17,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367100,133,16,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367100,155,15,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367100,219,16,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367102,1,16,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367103,1,16,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367103,54,15,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
367104,1,15,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367104,3,16,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367104,395,17,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
367104,485,18,26.00,HLT_BTagMu_AK4DiJet110_Mu5_v16/2,ONE,L1_DoubleJet80er2p5_Mu3_dR_Max0p4/13.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
