# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
369927,1,5,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
369927,21,20,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
369927,63,12,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
369943,1,5,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
369943,2,12,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
369956,1,5,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
369956,9,12,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
369956,236,25,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
369956,710,12,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
369978,1,12,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
369978,193,6,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
369978,499,12,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
369998,1,5,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
369998,3,10,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
369999,1,10,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370093,1,5,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
370093,9,7,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
370093,16,18,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
370093,189,16,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
370093,203,14,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
370093,222,13,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
370093,245,11,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
370093,254,10,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
370093,268,9,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
370093,276,8,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
370093,283,7,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
370093,407,8,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370097,1,5,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
370097,22,7,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
370097,25,8,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
370097,31,9,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
370097,49,11,6.00,HLT_BTagMu_AK4DiJet170_Mu5_v16/2,ONE,L1_DoubleJet120er2p5_Mu3_dR_Max0p8/3.00
