# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
369927,1,5,467.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/467.00
369927,21,20,467.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/467.00
369927,63,12,467.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/467.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
369943,1,5,2897.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/2897.00
369943,2,12,2897.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/2897.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
369956,1,5,6733.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/6733.00
369956,9,12,6733.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/6733.00
369956,236,25,6733.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/6733.00
369956,710,12,6733.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/6733.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
369978,1,12,8737.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/8737.00
369978,193,6,8737.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/8737.00
369978,499,12,8737.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/8737.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
369998,1,5,14051.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/14051.00
369998,3,10,14051.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/14051.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
369999,1,10,14051.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/14051.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370093,1,5,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370093,9,7,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370093,16,18,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370093,189,16,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370093,203,14,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370093,222,13,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370093,245,11,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370093,254,10,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370093,268,9,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370093,276,8,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370093,283,7,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370093,407,8,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370097,1,5,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370097,22,7,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370097,25,8,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370097,31,9,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370097,49,11,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370097,162,12,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370097,243,13,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370097,282,14,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370102,1,14,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370102,198,15,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370102,441,17,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370129,1,5,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370129,91,7,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370129,115,8,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370129,145,9,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370129,169,10,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370129,216,7,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370129,263,5,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370129,325,7,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370144,1,5,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370144,13,9,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370144,24,11,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370144,126,12,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
370144,339,13,17581.00,HLT_PFJet80_v25/1,ONE,L1_ZeroBias/17581.00
